序号	传感器编号	CH	a	b	c
1	sensor1	15	0.3135	2.611	6.3722
2	sensor3	10	0.3402	2.5599	6.0821
3	sensor5	28	0.2338	2.3058	6.9946
4	sensor15	27	0.251	2.4516	6.6093
5	sensor13	18	0.3658	1.7968	8.511
6	sensor11	2	0.3428	2.9209	5.8129
7	sensor25	23	0.248	2.7642	6.1662
8	sensor23	31	0.2987	2.6498	6.4343
9	sensor21	34	0.3255	2.6214	6.3632
